Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.0934643,4261.9995,3966.717,3949.404,370.2069,False
0.15330322,2649.6904,2492.0417,2462.8154,380.54337,True
0.18062413,3194.9531,1941.652,1910.0647,348.8053,False
0.16323596,3515.9148,3363.0156,3318.3098,546.5304,True
0.11409335,3276.317,2802.9062,2784.6829,319.0996,False
0.117362276,2742.0781,2308.4236,2292.544,270.30035,False
0.1375684,3098.7498,2750.807,2724.8184,377.23163,False
0.14289546,4209.2334,3964.303,3923.8982,564.55505,False
0.13260195,3292.8975,2425.916,2404.6196,320.73932,False
0.14197934,3541.9526,2912.9514,2883.6406,412.1908,False
0.09987531,4390.793,3815.572,3796.5574,380.44818,False
0.14866142,3351.3428,3119.6416,3085.233,462.06403,True
0.13931014,3271.7275,2999.2268,2970.1704,416.47253,False
0.1672487,2883.948,1990.7699,1962.9918,331.40363,True
0.12393561,2646.0786,2509.3083,2490.0615,310.19714,False
0.14082645,2835.658,2341.0713,2317.8953,328.5961,False
0.15285677,2941.298,2760.5505,2728.3628,420.32748,False
0.14435622,3456.7507,2983.1704,2952.1418,429.14514,False
0.08146122,2851.1736,2463.334,2455.1653,200.44434,False
0.16044465,3321.7327,2687.3816,2652.866,429.3285,True
0.12660551,2903.936,2563.3936,2542.8767,323.67343,False
0.13775028,2564.2227,2442.4265,2419.2905,335.38196,True
0.12309795,2996.0415,2873.687,2851.9421,352.8523,True
0.0926259,4290.2095,4003.648,3986.4856,370.31146,False
0.091859624,4187.043,3910.465,3893.9783,358.7089,False
0.16314673,3388.8186,2714.999,2678.9468,440.9809,True
0.13748576,3467.1191,2805.3276,2778.8557,384.47864,False
0.11491208,3561.192,2988.985,2969.2722,342.71506,False
0.12791725,3117.1868,2892.359,2868.7275,368.9744,False
0.1544746,3603.4355,2457.639,2428.3745,378.1347,False
0.16725105,2680.7327,1988.6277,1960.8787,331.0516,True
0.09083464,3514.3096,2771.2866,2759.8618,251.38281,False
0.11964798,2988.7458,2769.3318,2749.533,330.55493,False
0.15718019,2407.6968,1321.4979,1305.2073,206.85907,False
0.105913736,3539.4968,2411.9724,2398.4565,254.98364,False
0.1272915,2480.7585,2316.7236,2297.98,294.10352,True
0.10640351,4555.1074,4130.123,4106.765,438.63083,False
0.17380384,2386.9917,2046.2996,2015.4702,353.86682,True
0.15421571,3095.8828,2684.4802,2652.6216,412.35,False
0.09330099,4188.1,3939.803,3922.667,367.0544,False
0.16437702,3561.4397,3363.0615,3317.729,550.3239,True
0.12821914,3205.2212,2440.792,2420.756,312.0995,False
0.17247798,3177.2373,2567.6611,2529.5635,440.6725,False
0.11837604,3082.4348,2952.6362,2931.9731,348.7057,False
0.1549053,2817.0466,1893.126,1870.4579,292.08383,True
0.16617878,3074.218,2474.9666,2440.8716,409.39658,False
0.10374866,3372.8882,2492.9243,2479.5198,258.17383,False
0.10139667,3443.029,2397.5515,2385.237,242.68738,False
0.15633845,2747.7012,2344.8826,2316.2844,365.10376,True
0.17244992,2434.3335,2095.3093,2064.2302,359.5476,True
0.11865394,3526.6707,3162.3997,3140.1643,374.35132,False
0.24549247,2682.4019,1957.622,1898.928,475.7688,True
0.16871434,2506.067,2402.5835,2368.4702,403.43,True
0.1402063,3037.7976,2802.3733,2774.8743,391.6244,False
0.15975149,3113.8125,2853.741,2817.4036,453.9527,True
0.1587564,2951.0164,2601.1462,2568.436,411.2162,True
0.13630147,4452.6904,4315.071,4275.05,586.33105,False
0.13234521,3911.4656,3273.4937,3244.8677,431.96765,False
0.12365843,3773.3425,3499.6982,3472.9746,431.6651,False
0.13671315,2936.5193,2831.5732,2805.1528,385.90854,False
