Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.17554514,3094.6128,2438.218,2400.746,425.8224,True
0.09115485,3210.798,2567.4714,2556.812,233.7135,False
0.09654573,4112.9907,3679.101,3661.9678,354.64996,False
0.1803836,3194.832,3052.2498,3002.7268,547.59485,True
0.19272113,2887.2642,2484.3237,2438.3306,475.82336,True
0.11305568,3478.7932,3141.243,3121.1895,354.37933,False
0.09597154,4409.8193,3817.375,3799.8086,365.79724,False
0.09409118,4262.0137,3876.137,3858.9917,364.1724,False
0.122344874,3612.7769,2664.6401,2644.7224,325.19238,False
0.10751327,3301.9282,3160.028,3141.7822,339.09082,False
0.16838364,3334.3289,2690.5667,2652.514,450.90958,False
0.11616187,2986.3728,2864.9731,2845.6655,332.0527,False
0.14538494,3143.0476,2808.4229,2778.7944,406.8655,False
0.18421656,3054.7397,1886.3702,1854.4529,345.5385,False
0.15184659,2484.0977,2240.1372,2214.3608,338.8515,False
0.14711301,2727.064,2598.47,2570.4023,380.8914,True
0.12221772,3906.3252,3079.8486,3056.8752,375.4757,False
0.1366968,2743.4714,2505.169,2481.7998,341.38312,False
0.09463252,3350.7063,2715.28,2703.1309,256.57043,False
0.16490424,3726.0781,3433.3003,3386.7246,563.6033,False
0.092422396,4635.833,4538.6807,4519.3096,418.87878,False
0.11721675,3303.5269,3125.5376,3104.09,365.52698,False
0.09661927,4035.817,3706.0115,3688.7266,357.51526,False
0.14720377,3168.345,2235.2866,2211.1123,327.8556,False
0.20852864,2834.6458,2522.7976,2468.145,522.2711,True
0.14366151,3242.827,3074.8962,3043.22,440.22632,True
0.12568714,4129.067,3561.4377,3533.3442,446.44928,False
0.107162796,3515.94,3099.889,3082.1064,331.5573,False
0.2327035,2796.5698,2434.1523,2368.5432,561.3374,True
0.14723052,3570.5889,3232.0715,3197.1042,474.14227,False
